Start Location,End Location,Registration,Start Geofence,End Geofence,Trip Distance
"Sultan Area, Morogoro Urban, Morogoro, Tanzania","Sultan Area, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,0.4
"Mbezi, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T258DXJ,N.A Mill-B,Sanku : Mikocheni,27.7
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T852DZQ,Amani Milling  B,Sanku : Morogoro,1.7
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Kichangani, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,2.3
"Makuburi, Kinondoni, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T196DQG,Sanku : Morogoro,Sanku : Morogoro,0.0
"Charambe, Temeke, Dar es Salaam, Tanzania","Charambe, Temeke, Dar es Salaam, Tanzania",T141DKS,X,Y,17.0
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Dar Es Salaam, Boma, Morogoro Urban, Morogoro, Tanzania",T453EAJ,Sanku : Dodoma,Y,4.4
"B127, Hembeti, Mvomero, Morogoro, Tanzania","B127, Hembeti, Mvomero, Morogoro, Tanzania",T853DZQ,Sanku : Mwanza,Sanku : Mwanza,0.0
"Kigamboni, Temeke, Dar es Salaam, Tanzania","Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,X,Sanku : Morogoro,1.8
"Kingo, Morogoro Urban, Morogoro, Tanzania","Mji mpya, Morogoro Urban, Morogoro, Tanzania",T863DQM,X,Y,0.5
"Old Bagamoyo Road, Mikocheni, Kinondoni, Dar es Salaam, Tanzania","Old Bagamoyo Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",T196DQG,X,Y,0.0
"Madaraka, Mji mkuu, Morogoro Urban, Morogoro, Tanzania","Madaraka, Sultan Area, Morogoro Urban, Morogoro, Tanzania",MC473DKX,Sanku : Mikocheni,Sanku : Mikocheni,0.1
"Mwembesongo, Morogoro Urban, Morogoro, Tanzania","Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T934DMX,X,Y,6.6
