Start Location,Start Geofence,End Location,End Geofence,Distance,Registration
"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,"Ali Hassan Mwinyi Road, Kinondoni, Dar es Salaam, Tanzania",,3.3,DFP8546
"Ali Hassan Mwinyi Road, Kinondoni, Dar es Salaam, Tanzania",,"Msasani, Kinondoni, Dar es Salaam, Tanzania",,1.78,DFP8546
"Msasani, Kinondoni, Dar es Salaam, Tanzania",,"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,1.94,DFP8546
"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,5.21,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,1.05,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,1.15,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Manzese, Kinondoni, Dar es Salaam, Tanzania",Mnenuka Grain,5.26,DFP8546
"Manzese, Kinondoni, Dar es Salaam, Tanzania",Mnenuka Grain,"Manzese, Kinondoni, Dar es Salaam, Tanzania",Mnenuka Grain,0.0,DFP8546
"Manzese, Kinondoni, Dar es Salaam, Tanzania",Mnenuka Grain,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,5.16,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.0,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,0.0,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,29.29,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,0.0,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Mwananyamala, Kinondoni, Dar es Salaam, Tanzania",,12.44,DFP8546
"Mwananyamala, Kinondoni, Dar es Salaam, Tanzania",,"Mwananyamala, Kinondoni, Dar es Salaam, Tanzania",,1.02,DFP8546
"Mwananyamala, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,3.22,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,1.02,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,1.27,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,6.96,DFP8546
"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,1.32,DFP8546
"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,0.77,DFP8546
"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,0.44,DFP8546
"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,8.89,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,0.0,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Sinza, Kinondoni, Dar es Salaam, Tanzania",,4.36,DFP8546
"Sinza, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,22.25,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,0.2,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,0.0,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,5.15,DFP8546
"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,"Kimweri Avenue, Msasani, Kinondoni, Dar es Salaam, Tanzania",,0.42,DFP8546
"Kimweri Avenue, Msasani, Kinondoni, Dar es Salaam, Tanzania",,"Nyerere Road, Kipawa, Ilala, Dar es Salaam, Tanzania",,18.62,DFP8546
"Nyerere Road, Kipawa, Ilala, Dar es Salaam, Tanzania",,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,12.02,DFP8546
"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,1.89,DFP8546
"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,10.04,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,2.14,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,"Morogoro Road, Makurumla, Kinondoni, Dar es Salaam, Tanzania",,7.38,DFP8546
"Morogoro Road, Makurumla, Kinondoni, Dar es Salaam, Tanzania",,"Makurumla, Kinondoni, Dar es Salaam, Tanzania",,0.08,DFP8546
"Morogoro Road, Makurumla, Kinondoni, Dar es Salaam, Tanzania",,"Morogoro Road, Makurumla, Kinondoni, Dar es Salaam, Tanzania",,0.03,DFP8546
"Morogoro Road, Makurumla, Kinondoni, Dar es Salaam, Tanzania",,"Somanga Street, Magomeni, Kinondoni, Dar es Salaam, Tanzania",,2.49,DFP8546
"Somanga Street, Magomeni, Kinondoni, Dar es Salaam, Tanzania",,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,10.28,DFP8546
"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,9.36,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,5.36,DFP8546
"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",,5.16,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Ubungo, Kinondoni, Dar es Salaam, Tanzania",,3.73,DFP8546
"Sam Nujoma Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania",,"Ubungo, Kinondoni, Dar es Salaam, Tanzania",,0.08,DFP8546
"Ubungo, Kinondoni, Dar es Salaam, Tanzania",,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,6.34,DFP8546
"Makuburi, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,10.66,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Msasani, Kinondoni, Dar es Salaam, Tanzania",,5.33,DFP8546
"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",,"Livingstone Street, Gerezani, Ilala, Dar es Salaam, Tanzania",,9.3,DFP8546
"Livingstone Street, Gerezani, Ilala, Dar es Salaam, Tanzania",,"Shaurimoyo, Mchikichini, Ilala, Dar es Salaam, Tanzania",,0.51,DFP8546
"Shaurimoyo, Mchikichini, Ilala, Dar es Salaam, Tanzania",,"Shaurimoyo, Mchikichini, Ilala, Dar es Salaam, Tanzania",,0.0,DFP8546
"Shaurimoyo, Mchikichini, Ilala, Dar es Salaam, Tanzania",,"Morogoro Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania",,9.32,DFP8546
"Morogoro Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania",,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,11.46,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikochen,10.41,DFP8546
"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",Sanku : Mikocheni,"Morogoro Road, Ubungo, Kinondoni, Dar es Salaam, Tanzania",,6.8,DFP8546
