,Start Time,Start Location,End Time,End Location,Registration,Start Geofence,End Geofence,Trip Distance
361,2023-11-26 16:17:44,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2023-11-26 16:24:12,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,Out of Route,Out of Route,21.2
362,2023-10-18 14:43:03,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2023-10-18 14:44:15,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T250EBJ,NGOSHAH FOOD COMPANY,Out of Route,4.0
363,2023-12-31 16:27:16,"A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania",2023-12-31 16:29:37,"A7, Kingolwira, Morogoro Urban, Morogoro, Tanzania",T850DZQ,PSR Mill - C,Umoja Maize Flour Mills,7.3
364,2024-01-06 13:30:03,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2024-01-06 13:59:58,"Tandale, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,Out of Route,Out of Route,0.0
365,2023-12-01 14:52:38,"Azimio, Temeke, Dar es Salaam, Tanzania",2023-12-01 15:01:36,"Yombo Vituka, Temeke, Dar es Salaam, Tanzania",T240EBJ,Senzige milling,Kanaani,1.5
366,2023-10-29 21:09:10,"Kichangani, Morogoro Urban, Morogoro, Tanzania",2023-10-29 21:30:21,"Kingolwira, Morogoro Urban, Morogoro, Tanzania",T862DQM,Out of Route,Out of Route,0.0
367,2023-12-04 13:15:00,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2023-12-04 13:25:29,"Bagamoyo Road, Kawe, Kinondoni, Dar es Salaam, Tanzania",T196DQG,Out of Route,Out of Route,0.2
368,2024-01-15 18:42:49,"Msasani, Kinondoni, Dar es Salaam, Tanzania",2024-01-15 19:53:54,"Kawe, Kinondoni, Dar es Salaam, Tanzania",T980DMT,Out of Route,Out of Route,0.0
369,2023-10-05 15:01:56,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",2023-10-05 15:07:12,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T453EAJ,Out of Route,Out of Route,0.7
370,2023-11-07 15:16:05,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",2023-11-07 15:16:15,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",T257DXJ,Out of Route,Sanku : Mikocheni,46.7
371,2024-01-22 06:49:00,"Kingolwira, Morogoro Urban, Morogoro, Tanzania",2024-01-22 07:12:03,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T934DMX,Out of Route,Out of Route,0.0
372,2023-10-13 19:26:26,"A7, Mbezi, Kinondoni, Dar es Salaam, Tanzania",2023-10-13 19:57:31,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T191DWL,Out of Route,Out of Route,0.0
373,2024-01-03 19:43:30,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",2024-01-03 20:40:22,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T258DXJ,Out of Route,Sanku : Mikocheni,0.0
374,2024-01-18 15:42:20,"Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania",2024-01-18 16:47:18,"Chole Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",T452EBA,Out of Route,Out of Route,1.7
375,2023-12-15 10:13:29,"Old Bagamoyo Road, Msasani, Kinondoni, Dar es Salaam, Tanzania",2023-12-15 10:18:01,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T196DQG,Out of Route,Out of Route,0.0
376,2023-10-10 13:24:09,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2023-10-10 13:56:52,"Makuburi, Kinondoni, Dar es Salaam, Tanzania",T261DXJ,Out of Route,Out of Route,10.0
377,2023-11-20 19:40:12,"Kingolwira, Morogoro Urban, Morogoro, Tanzania",2023-11-20 19:40:34,"Kingolwira, Morogoro Urban, Morogoro, Tanzania",T863DQM,Out of Route,Out of Route,0.0
378,2023-11-06 14:44:38,"Mazimbu, Morogoro Urban, Morogoro, Tanzania",2023-11-06 14:45:48,"Mazimbu, Morogoro Urban, Morogoro, Tanzania",T863DQM,Out of Route,Out of Route,1.2
379,2023-12-29 15:50:21,"Chanika, Ilala, Dar es Salaam, Tanzania",2023-12-29 16:16:30,"Msongola, Ilala, Dar es Salaam, Tanzania",T258DXJ,Sanku : Mikocheni,Out of Route,0.5
380,2023-10-06 10:15:48,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",2023-10-06 10:19:07,"Mikocheni, Kinondoni, Dar es Salaam, Tanzania",T240EBJ,Out of Route,Kivumbe Mills,1.9
381,2024-01-12 14:43:02,"Kingo, Morogoro Urban, Morogoro, Tanzania",2024-01-12 14:48:47,"Kichangani, Morogoro Urban, Morogoro, Tanzania",T934DMX,Out of Route,Out of Route,0.0
382,2024-01-26 12:20:21,"Sabasaba, Morogoro Urban, Morogoro, Tanzania",2024-01-26 12:33:18,"Mwembesongo, Morogoro Urban, Morogoro, Tanzania",T852DZQ,Sanku : Morogoro,Out of Route,0.0
