,Unnamed: 0,Start Location,End Time,End Location,Registration,Start Geofence,End Geofence,Trip Distance,Position Description
259,259,"Uwanja wa Taifa, Morogoro Urban, Morogoro, Tanzania",2023-11-02 13:44:34,"Uwanja wa Taifa, Morogoro Urban, Morogoro, Tanzania",T862DQM,Out of Route,Out of Route,9.1,Makumbusho
260,260,Mwembesongo,2023-11-29 16:52:53,"Kihonda, Morogoro Urban, Morogoro, Tanzania",T863DQM,Out of Route,Out of Route,18.3,"Bagamoyo Road, Makumbusho, Kinondoni, Dar es Salaam, Tanzania"
261,261,"Dar Es Salaam, Kilakala, Morogoro Urban, Morogoro, Tanzania",2023-12-08 12:06:48,Mwembesongo,T863DQM,Out of Route,Out of Route,0.0,"Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania"
262,262,Makaburi,2023-11-08 14:37:19,Makaburi,T257DXJ,Out of Route,Out of Route,13.6,Bagamoyo Road
263,263,Mji mpya,2023-11-22 17:45:41,"Kingo, Morogoro Urban, Morogoro, Tanzania",T863DQM,Out of Route,Out of Route,0.1,Bagamoyo Road
264,264,"Bunju, Kinondoni, Dar es Salaam, Tanzania",2023-10-12 16:47:02,Mikocheni,T240EBJ,Out of Route,Out of Route,0.0,"Kijito Nyama, Kinondoni, Dar es Salaam, Tanzania"
265,265,"Kihonda, Morogoro Urban, Morogoro, Tanzania",2023-11-17 13:46:16,Mwembesongo,T453EAJ,Out of Route,Out of Route,0.1,Mikocheni
266,266,Mwembesongo,2023-11-07 13:03:16,Kingolwira,T453EAJ,Out of Route,Out of Route,4.7,Mikocheni
267,267,Chole Road,2023-12-14 07:53:33,Chole Road,T452EBA,Out of Route,Out of Route,0.0,Mikocheni
268,268,"Kingo, Morogoro Urban, Morogoro, Tanzania",2023-10-05 11:31:32,"Kingo, Morogoro Urban, Morogoro, Tanzania",T852DZQ,Out of Route,Out of Route,3.5,Mikocheni
269,269,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",2023-11-16 19:30:37,"Mbezi, Kinondoni, Dar es Salaam, Tanzania",T257DXJ,Out of Route,Out of Route,53.4,Mikocheni
270,270,"Madaraka, Mji mkuu, Morogoro Urban, Morogoro, Tanzania",2023-10-05 22:15:10,"Kingo, Morogoro Urban, Morogoro, Tanzania",T934DMX,Out of Route,Out of Route,8.1,Mikocheni
271,271,Manzese,2023-11-21 14:33:42,Makaburi,DFP8546,Out of Route,Out of Route,4.0,Mikocheni
272,272,Mikocheni,2024-01-16 16:09:49,Manzese,MC473DKX,Out of Route,Out of Route,0.0,Mikocheni
